Name,Address,Latitude,Longitude,BeerPrice,HappyHourPrice,HasHappyHour,HappyHourTimes,AvgRating,RatingsCount,OpeningHours,SpecialNotes,URL
Karla Cafe,"Karlavägen 71, 114 43 Stockholm, Sweden",59.3393093,18.0831832,78,,No,,0,0,Mon: 07:30 – 19:00 | Tue: 07:30 – 19:00 | Wed: 07:30 – 19:00 | Thu: 07:30 – 19:00 | Fri: 07:30 – 19:00 | Sat: 10:00 – 19:00 | Sun: 10:00 – 19:00,,https://www.google.com/maps/search/?api=1&query=Karla+Cafe+Karlav%C3%A4gen+71%2C+114+43+Stockholm%2C+Sweden
The Secret Garden,"Kornhamnstorg 59, 111 27 Stockholm, Sweden",59.3226066,18.0720809,82,,No,,0,0,Mon: 11:00 – 03:00 | Tue: 11:00 – 03:00 | Wed: 11:00 – 03:00 | Thu: 11:00 – 03:00 | Fri: 11:00 – 03:00 | Sat: 11:00 – 03:00 | Sun: 11:00 – 03:00,,https://www.google.com/maps/search/?api=1&query=The+Secret+Garden+Kornhamnstorg+59%2C+111+27+Stockholm%2C+Sweden
Mister French,"Tullhus 2, 111 30 Stockholm, Sweden",59.3241222,18.0758216,78,,No,,0,0,Tue: 11:30 – 15:00 | Wed: 11:30 – 01:00 | Thu: 11:30 – 01:00 | Fri: 11:30 – 01:00 | Sat: 11:30 – 01:00 | Sun: 11:30 – 18:00,,https://www.google.com/maps/search/?api=1&query=Mister+French+Tullhus+2%2C+111+30+Stockholm%2C+Sweden
The Temple Bar,"Kornhamnstorg 55, 111 27 Stockholm, Sweden",59.3227133,18.071882,82,39,Yes,Mon 11:00–20:00; Tue 11:00–20:00; Wed 11:00–20:00; Thu 11:00–20:00; Fri 11:00–20:00; Sat 11:00–20:00; Sun 11:00–20:00,0,0,Mon: 11:00 – 03:00 | Tue: 11:00 – 03:00 | Wed: 11:00 – 03:00 | Thu: 11:00 – 03:00 | Fri: 11:00 – 03:00 | Sat: 11:00 – 03:00 | Sun: 11:00 – 03:00,Happy Hour (Mon 11:00–20:00; Tue 11:00–20:00; Wed 11:00–20:00; Thu 11:00–20:00; Fri 11:00–20:00; Sat 11:00–20:00; Sun 11:00–20:00),https://www.google.com/maps/search/?api=1&query=The+Temple+Bar+Kornhamnstorg+55%2C+111+27+Stockholm%2C+Sweden
The Bull and Bear Inn,"Grev Turegatan 1, 114 34 Stockholm, Sweden",59.3351798,18.0746294,78,,No,,0,0,Mon: 16:00 – 03:00 | Tue: 16:00 – 03:00 | Wed: 16:00 – 03:00 | Thu: 16:00 – 03:00 | Fri: 15:00 – 03:00 | Sat: 12:00 – 03:00 | Sun: 12:00 – 03:00,,https://www.google.com/maps/search/?api=1&query=The+Bull+and+Bear+Inn+Grev+Turegatan+1%2C+114+34+Stockholm%2C+Sweden
The King's Fox by Bolaget,"Kungsgatan 24, 111 35 Stockholm, Sweden",59.33605459999999,18.067284,78,,No,,0,0,Tue: 16:00 – 23:00 | Wed: 16:00 – 01:00 | Thu: 16:00 – 01:00 | Fri: 15:00 – 03:00 | Sat: 13:00 – 03:00 | Sun: 16:00 – 23:00,,https://www.google.com/maps/search/?api=1&query=The+King%27s+Fox+by+Bolaget+Kungsgatan+24%2C+111+35+Stockholm%2C+Sweden
Babylon,"116 25 Stockholm, Sweden",59.3155162,18.0735529,78,,No,,0,0,Mon: 11:00 – 00:00 | Tue: 11:00 – 00:00 | Wed: 11:00 – 00:00 | Thu: 11:00 – 00:00 | Fri: 11:00 – 00:00 | Sat: 11:00 – 00:00 | Sun: 12:00 – 18:00,,https://www.google.com/maps/search/?api=1&query=Babylon+116+25+Stockholm%2C+Sweden
Ballbreaker Kungsholmen,"Lindhagensgatan 114, 112 51 Stockholm, Sweden",59.3364196,18.0113376,78,,No,,0,0,Mon: 11:00 – 22:00 | Tue: 11:00 – 23:00 | Wed: 11:00 – 23:00 | Thu: 11:00 – 23:00 | Fri: 11:00 – 01:00 | Sat: 12:00 – 01:00,Pool Table,https://www.google.com/maps/search/?api=1&query=Ballbreaker+Kungsholmen+Lindhagensgatan+114%2C+112+51+Stockholm%2C+Sweden
Mazzarini,"Kornhamnstorg 61, 111 27 Stockholm, Sweden",59.3222148,18.0725654,79,,No,,0,0,Mon: 08:00 – 22:00 | Tue: 08:00 – 22:00 | Wed: 08:00 – 22:00 | Thu: 08:00 – 22:00 | Fri: 08:00 – 23:00 | Sat: 10:00 – 23:00 | Sun: 11:00 – 21:00,,https://www.google.com/maps/search/?api=1&query=Mazzarini+Kornhamnstorg+61%2C+111+27+Stockholm%2C+Sweden
Lucky Bowl Kungsholmen,"S:T Göransgatan 64, 112 33 Stockholm, Sweden",59.33326460000001,18.0326541,79,,No,,0,0,Mon: 13:00 – 22:00 | Tue: 13:00 – 22:00 | Wed: 13:00 – 22:00 | Thu: 13:00 – 22:00 | Fri: 13:00 – 23:00 | Sat: 13:00 – 23:00 | Sun: 13:00 – 22:00,,https://www.google.com/maps/search/?api=1&query=Lucky+Bowl+Kungsholmen+S%3AT+G%C3%B6ransgatan+64%2C+112+33+Stockholm%2C+Sweden
